frame,x,y,visible
0,-1,-1,0
1,1090,419,1
2,-1,-1,0
3,-1,-1,0
4,-1,-1,0
5,-1,-1,0
6,982,695,1
7,-1,-1,0
8,1140,434,1
9,-1,-1,0
10,-1,-1,0
11,-1,-1,0
12,-1,-1,0
13,-1,-1,0
14,-1,-1,0
15,-1,-1,0
16,-1,-1,0
17,-1,-1,0
18,-1,-1,0
19,-1,-1,0
20,-1,-1,0
21,934,786,1
22,-1,-1,0
23,-1,-1,0
24,939,786,1
25,1129,716,1
26,-1,-1,0
27,-1,-1,0
28,-1,-1,0
29,1155,382,1
30,-1,-1,0
31,-1,-1,0
32,990,730,1
33,1114,899,1
34,1114,899,1
35,1175,453,1
36,1175,453,1
37,-1,-1,0
38,-1,-1,0
39,-1,-1,0
40,-1,-1,0
41,-1,-1,0
42,-1,-1,0
43,1026,355,1
44,1026,355,1
45,789,84,1
46,789,84,1
47,789,84,1
48,1249,982,1
49,789,84,1
50,789,84,1
51,789,84,1
52,1574,944,1
53,-1,-1,0
54,1574,939,1
55,1574,939,1
56,1574,940,1
57,-1,-1,0
58,1247,490,1
59,-1,-1,0
60,1030,381,1
61,-1,-1,0
62,1099,628,1
63,1623,820,1
64,-1,-1,0
65,-1,-1,0
66,-1,-1,0
67,-1,-1,0
68,-1,-1,0
69,-1,-1,0
70,-1,-1,0
71,1517,668,1
72,-1,-1,0
73,-1,-1,0
74,-1,-1,0
75,774,685,1
76,-1,-1,0
77,-1,-1,0
78,1230,639,1
79,-1,-1,0
80,-1,-1,0
81,-1,-1,0
82,-1,-1,0
83,-1,-1,0
84,-1,-1,0
85,-1,-1,0
86,-1,-1,0
87,858,711,1
88,858,711,1
89,1552,551,1
90,1446,1043,1
91,1446,1043,1
92,1446,1043,1
93,1446,1043,1
94,1225,580,1
95,-1,-1,0
96,1172,957,1
97,-1,-1,0
98,-1,-1,0
99,-1,-1,0
100,1611,697,1
101,-1,-1,0
102,-1,-1,0
103,1229,304,1
104,-1,-1,0
105,-1,-1,0
106,-1,-1,0
107,-1,-1,0
108,-1,-1,0
109,-1,-1,0
110,1222,305,1
111,1220,304,1
112,1220,304,1
113,1216,304,1
114,-1,-1,0
115,-1,-1,0
116,1216,304,1
117,-1,-1,0
118,-1,-1,0
119,1210,306,1
120,1210,306,1
121,1205,306,1
122,1205,306,1
123,-1,-1,0
124,-1,-1,0
125,1196,307,1
126,1196,307,1
127,1196,307,1
128,1196,307,1
129,-1,-1,0
130,-1,-1,0
131,-1,-1,0
132,-1,-1,0
133,-1,-1,0
134,1554,509,1
135,1554,509,1
136,1554,509,1
137,-1,-1,0
