frame,x,y,visible
0,-1,-1,0
1,-1,-1,0
2,-1,-1,0
3,-1,-1,0
4,-1,-1,0
5,-1,-1,0
6,-1,-1,0
7,-1,-1,0
8,-1,-1,0
9,910,725,1
10,-1,-1,0
11,-1,-1,0
12,-1,-1,0
13,-1,-1,0
14,-1,-1,0
15,-1,-1,0
16,-1,-1,0
17,-1,-1,0
18,-1,-1,0
19,1642,799,1
20,-1,-1,0
21,-1,-1,0
22,-1,-1,0
23,-1,-1,0
24,-1,-1,0
25,-1,-1,0
26,-1,-1,0
27,1208,362,1
28,-1,-1,0
29,-1,-1,0
30,-1,-1,0
31,1706,547,1
32,1706,547,1
33,-1,-1,0
34,1705,548,1
35,-1,-1,0
36,-1,-1,0
37,-1,-1,0
38,1182,546,1
39,-1,-1,0
40,-1,-1,0
41,1223,464,1
42,-1,-1,0
43,-1,-1,0
44,-1,-1,0
45,1764,601,1
46,1217,467,1
47,-1,-1,0
48,1629,795,1
49,-1,-1,0
50,-1,-1,0
51,1195,372,1
52,-1,-1,0
53,-1,-1,0
54,1102,386,1
55,1102,386,1
56,1105,373,1
57,1189,368,1
58,1189,368,1
59,1105,372,1
60,1187,368,1
61,1187,368,1
62,1186,370,1
63,1186,369,1
64,-1,-1,0
65,-1,-1,0
66,-1,-1,0
67,-1,-1,0
68,-1,-1,0
69,-1,-1,0
70,-1,-1,0
71,-1,-1,0
72,-1,-1,0
73,-1,-1,0
74,-1,-1,0
75,-1,-1,0
76,-1,-1,0
77,1144,965,1
78,1144,965,1
79,-1,-1,0
80,-1,-1,0
81,-1,-1,0
82,-1,-1,0
83,1218,470,1
84,-1,-1,0
85,1216,473,1
86,1216,473,1
87,1217,482,1
88,1217,482,1
89,-1,-1,0
90,-1,-1,0
91,1217,502,1
92,1217,502,1
93,1217,502,1
94,1217,502,1
95,1217,502,1
96,-1,-1,0
97,1215,510,1
98,-1,-1,0
99,-1,-1,0
100,-1,-1,0
101,-1,-1,0
102,-1,-1,0
103,-1,-1,0
104,-1,-1,0
105,-1,-1,0
106,1199,458,1
107,-1,-1,0
108,-1,-1,0
109,1269,1256,1
110,1042,505,1
111,1042,505,1
112,1658,813,1
113,1157,384,1
114,934,482,1
115,934,482,1
116,1035,10,1
117,934,482,1
118,878,477,1
119,878,477,1
120,1300,951,1
121,775,477,1
122,-1,-1,0
123,-1,-1,0
124,-1,-1,0
125,-1,-1,0
126,-1,-1,0
127,-1,-1,0
128,-1,-1,0
129,-1,-1,0
130,-1,-1,0
131,-1,-1,0
132,-1,-1,0
133,-1,-1,0
134,988,818,1
135,1168,483,1
136,-1,-1,0
137,-1,-1,0
138,-1,-1,0
139,-1,-1,0
140,-1,-1,0
141,1637,838,1
142,1637,838,1
143,1637,838,1
144,1098,577,1
145,1636,837,1
146,-1,-1,0
147,1636,837,1
148,1257,874,1
149,1634,837,1
150,1387,786,1
151,-1,-1,0
152,-1,-1,0
153,-1,-1,0
154,-1,-1,0
155,-1,-1,0
156,-1,-1,0
157,-1,-1,0
158,-1,-1,0
159,-1,-1,0
160,-1,-1,0
161,-1,-1,0
162,-1,-1,0
163,1627,776,1
164,1627,776,1
165,1627,776,1
166,1627,776,1
167,-1,-1,0
168,-1,-1,0
169,-1,-1,0
170,-1,-1,0
171,1184,591,1
172,1184,591,1
173,1184,591,1
174,1184,591,1
175,-1,-1,0
176,-1,-1,0
177,-1,-1,0
178,-1,-1,0
179,-1,-1,0
180,-1,-1,0
181,-1,-1,0
182,-1,-1,0
183,1697,695,1
184,1697,695,1
185,-1,-1,0
186,1127,426,1
187,1128,426,1
188,-1,-1,0
189,-1,-1,0
190,1051,278,1
191,1051,278,1
192,1051,278,1
193,-1,-1,0
194,-1,-1,0
195,1164,476,1
