frame,x,y,visible
0,-1,-1,0
1,-1,-1,0
2,-1,-1,0
3,-1,-1,0
4,-1,-1,0
5,-1,-1,0
6,-1,-1,0
7,-1,-1,0
8,-1,-1,0
9,-1,-1,0
10,1621,749,1
11,-1,-1,0
12,-1,-1,0
13,-1,-1,0
14,-1,-1,0
15,-1,-1,0
16,-1,-1,0
17,1208,980,1
18,-1,-1,0
19,-1,-1,0
20,-1,-1,0
21,-1,-1,0
22,-1,-1,0
23,-1,-1,0
24,-1,-1,0
25,-1,-1,0
26,1681,766,1
27,-1,-1,0
28,-1,-1,0
29,-1,-1,0
30,-1,-1,0
31,1249,472,1
32,1254,463,1
33,1263,448,1
34,1263,448,1
35,-1,-1,0
36,1283,429,1
37,1288,425,1
38,1306,341,1
39,1303,422,1
40,-1,-1,0
41,-1,-1,0
42,-1,-1,0
43,-1,-1,0
44,-1,-1,0
45,-1,-1,0
46,-1,-1,0
47,-1,-1,0
48,-1,-1,0
49,-1,-1,0
50,-1,-1,0
51,-1,-1,0
52,-1,-1,0
53,1373,588,1
54,-1,-1,0
55,1380,631,1
56,1384,613,1
57,-1,-1,0
58,-1,-1,0
59,-1,-1,0
60,1153,963,1
61,-1,-1,0
62,-1,-1,0
63,-1,-1,0
64,-1,-1,0
65,-1,-1,0
66,1506,464,1
67,-1,-1,0
68,1144,751,1
69,1590,473,1
70,1607,480,1
71,1638,490,1
72,1671,502,1
73,1686,509,1
74,-1,-1,0
75,1742,486,1
76,1742,486,1
77,-1,-1,0
78,1782,464,1
79,-1,-1,0
80,-1,-1,0
81,-1,-1,0
82,-1,-1,0
83,-1,-1,0
84,-1,-1,0
85,-1,-1,0
86,-1,-1,0
87,-1,-1,0
88,-1,-1,0
89,-1,-1,0
90,-1,-1,0
91,-1,-1,0
92,-1,-1,0
93,-1,-1,0
94,-1,-1,0
95,-1,-1,0
96,-1,-1,0
97,1381,916,1
98,1381,916,1
99,1381,916,1
100,-1,-1,0
101,1178,774,1
102,1178,774,1
103,-1,-1,0
104,780,11,1
105,-1,-1,0
106,-1,-1,0
107,-1,-1,0
108,-1,-1,0
109,-1,-1,0
110,1151,568,1
111,-1,-1,0
112,-1,-1,0
113,780,12,1
114,780,12,1
115,780,11,1
116,780,11,1
117,780,11,1
118,-1,-1,0
119,-1,-1,0
120,1694,693,1
121,1666,597,1
122,-1,-1,0
123,-1,-1,0
124,-1,-1,0
125,-1,-1,0
126,-1,-1,0
127,-1,-1,0
128,1055,565,1
129,-1,-1,0
130,-1,-1,0
131,-1,-1,0
132,-1,-1,0
133,1054,7,1
134,-1,-1,0
135,-1,-1,0
136,-1,-1,0
137,-1,-1,0
138,-1,-1,0
139,-1,-1,0
140,-1,-1,0
141,-1,-1,0
142,-1,-1,0
143,-1,-1,0
144,-1,-1,0
145,-1,-1,0
146,-1,-1,0
147,-1,-1,0
148,-1,-1,0
149,-1,-1,0
150,-1,-1,0
151,-1,-1,0
152,-1,-1,0
153,-1,-1,0
154,-1,-1,0
155,-1,-1,0
156,-1,-1,0
157,-1,-1,0
158,1079,548,1
159,-1,-1,0
160,-1,-1,0
161,-1,-1,0
162,1513,1044,1
163,-1,-1,0
164,-1,-1,0
165,-1,-1,0
166,-1,-1,0
167,-1,-1,0
168,-1,-1,0
169,-1,-1,0
170,-1,-1,0
171,-1,-1,0
172,-1,-1,0
173,-1,-1,0
174,-1,-1,0
175,-1,-1,0
176,-1,-1,0
177,-1,-1,0
178,-1,-1,0
179,1572,935,1
180,-1,-1,0
181,-1,-1,0
182,-1,-1,0
183,-1,-1,0
184,-1,-1,0
185,-1,-1,0
186,-1,-1,0
187,-1,-1,0
188,-1,-1,0
189,-1,-1,0
190,-1,-1,0
191,-1,-1,0
192,-1,-1,0
193,-1,-1,0
194,-1,-1,0
195,-1,-1,0
196,-1,-1,0
197,-1,-1,0
198,-1,-1,0
199,-1,-1,0
200,-1,-1,0
